Name,Quantity,Designator,Footprint,Manufacturer Part,Manufacturer,Part Code,,,,,,,,
0.1u,15,"C1,C6,C11,C14,C26,C28,C30,C36,C37,C38,C39,C44,C45,C46,C49",C0603,CL10B104KB8WPND,Samsung Electro-Mechanics,CT01398,,,,,,,,
10u TANT,4,"C2,C4,C8,C57",C1206 TANTALUM_2,T491A106M020AT,KEMET,CT03086,,,,,,,,
10u,3,"C3,C9,C29",C0603,CC0603MRX5R6BB106,YAGEO,CT01889,,,,,,,,
3.3n,2,"C5,C58",C0603,06035C332K4T2A,KYOCERA AVX,CT01408,,,,,,,,
100u TANT,1,C7,C2917-TANTALUM,T491D107K016AT,KEMET,CT03087,,,,,,,,
2.7n,1,C10,C0603,C0603C272K5RACTU,KEMET,CT01402,,,,,,,,
10u,5,"C12,C13,C20,C21,C23",C1206_1,CL31A106KBHNNNE,Samsung Electro-Mechanics,CT00768,,,,,,,,
1u,4,"C15,C22,C31,C47",C0603,C1608X5R1H105K080AB,TDK Corporation,CT01406,,,,,,,,
22u,4,"C16,C17,C18,C19",C1206_1,CC1206KKX5R8BB226,Yageo,CT00514,,,,,,,,
22u,3,"C24,C25,C43",C0603,C1608X5R0J226M080AC,TDK Corporation,CT01814,,,,,,,,
4.7u,1,C27,C0603,C1608X5R1E475K080AC,TDK Corporation,CT01401,,,,,,,,
0.01u,1,C32,C1206_1,C1206C103K5RACTU,KEMET,CT03400,,,,,,,,
100uF,1,C33,CAP-TH_BD8.3-P3.00-D0.6-FD,ESK107M063AH1EA,KEMET,CT00625,,,,,,,,
47n,1,C34,C0603,C1608X5R1H473M080AA,TDK Corporation,CT00845,,,,,,,,
22n,1,C35,C0603,C0603C101K5RACAUTO7411,KEMET,CT01417,,,,,,,,
100p,1,C40,C0603,C0603C101M5GAC7867,KEMET,CT01972,,,,,,,,
2.2u,1,C41,C1206,C1206J225J4RAC7800,KEMET,CT00808,,,,,,,,
0.01u,1,C42,C0603,CS0603JRX7R9BB103,YAGEO,CT01400,,,,,,,,
0.1u,1,C48,C0603_1,CL10B104KB8WPND,Samsung Electro-Mechanics,CT01398,,,,,,,,
207479-0002,1,CN1,CONN-TH_2P-P3.96_2074790002,207479-0002,Molex,CT03790,,,,,,,,
B6B-XH-A(LF)(SN),1,CN2,CONN-TH_6P-P2.50_B6B-XH-A-LF-SN,B6B-XH-A(LF)(SN),JST Sales America Inc,CT00529,,,,,,,,
B5B-XH-A(LF)(SN),1,CN3,CONN-TH_B5B-XH-A-BK-LF-SN,B5B-XH-A(LF)(SN),JST Sales America Inc,CT00608,,,,,,,,
JST-PH-2PIN-2.5(B2B-XH-A),6,"CN4,CN5,CN6,CN7,CN8,CN9",JST-PH-2PIN-2.5(B2B-XH-A)_1,B2B-XH-AU,JST Sales America Inc.,CT03783,,,,,,,,
SMBJ12A-AT/TR13,1,D1,SMB_L4.6-W3.6-LS5.3-RD_1,SMBJ12A-AT/TR13,YAGEO,CT03661,,,,,,,,
LED_0603-B,1,D2,LED0603-R-RD,150060BS75000,Würth Elektronik,CT01893,,,,,,,,
TVS Diode,1,D3,TVS_DIODE_BIDIR_SDxxC_FOOTPRINT,ESDS311DYFR,Texas Instruments,CT03864,,,,,,,,
SZSMF6.0AT1G,1,D7,SOD-123F_L2.7-W1.7-LS3.6-RD,SZSMF6.0AT1G,Littelfuse Inc.,CT03866,,,,,,,,
HDR-M-2.54_1x4,3,"H1,H2,H3",HDR-M-2.54_1X4,PRPC040SACN-RC,Sullins Connector Solutions,CT00048,,,,,,,,
HDR-M_2.54_1x2P,1,JMP1,HDR-TH_2P-P2.54-V-M-1,PRPC040SACN-RC,Sullins Connector Solutions,CT00048,,,,,,,,
SRN6045TA-3R3Y,1,L1,INDUCTOR (SRN6045TA-3R3Y),SRN6045TA-3R3Y,Bourns Inc.,CT01765,,,,,,,,
1.5uH,2,"L2,L4",IND-SMD_L7.2-W6.6_SRP6540,SRP6540-1R5M,BOURNS,CT03730,,,,,,,,
10uH,1,L3,IND-SMD_SRP7028AA-3R3M,SRP7028AA-100M,Bourns Inc.,CT03796,,,,,,,,x
LED-0603_R,2,"LED1,LED2",LED0603-R-RD,150060RS75000,Würth Elektronik,CT01892,,,,,,,,
SISA14DN-T1-GE3,1,Q1,DFN-8_L3.3-W3.3-P0.65-BL,SISA14DN-T1-GE3,Vishay Siliconix,CT03728,,,,,,,,
DMP4006SPSWQ-13,1,Q2,POWERVDFN-8_L6.2-W5.2-P1.27-LS6.0-BL,DMP4006SPSWQ-13,Diodes Incorporated,CT03560,,,,,,,,
47k,5,"R1,R6,R8,R76,R77",R1206_1,RC1206JR-0747KL,YAGEO,CT00490,,,,,,,,
470k,1,R2,R1206_1,AC1206JR-07470KL,YAGEO,CT00814,,,,,,,,
10k,8,"R3,R26,R29,R35,R39,R43,R44,R52",R0603_1,ESR03EZPF1002,Rohm Semiconductor,CT00413,,,,,,,,
1k,2,"R4,R18",R0603_2,RNCP0603FTD1K00,Stackpole Electronics Inc,CT01883,,,,,,,,
120k,1,R5,R0603_1,RC0603FR-07120KL,YAGEO,CT03797,,,,,,,,
1k,2,"R7,R80",R0603_1,RNCP0603FTD1K00,Stackpole Electronics Inc,CT01883,,,,,,,,
15.8k,1,R9,R0603_1,CRCW060315K8FKEA,Vishay Dale,CT03799,,,,,,,,
499E,2,"R10,R79",R0402_1,ERJ-2RKF4990X,Panasonic Electronic Components,CT01819,,,,,,,,
5k,2,"R11,R78",R0402_1,RC0402FR-075KL,YAGEO,CT01952,,,,,,,,
200k,1,R12,R0402_1,RC0402FR-07200KL,YAGEO,CT01949,,,,,,,,
